State,Account_length,Intl_plan,Voicemail_message,day_call,day_charge,eve_call,eve_charge,night_call,night_charge,intl_call,intl_charge,CS_calls,Churn
DE,142,No,0,133,31.79,74,11.44,127,10.9,5,2.0,2,0
WY,97,No,24,135,22.64,58,18.46,79,3.18,3,2.97,1,0
IA,52,No,0,108,32.62,96,22.93,87,10.66,5,2.11,3,0
IN,60,No,0,57,37.5,115,17.94,129,11.21,3,1.84,1,0
UT,96,No,0,117,27.23,67,22.74,68,10.28,5,2.51,2,0
WY,87,No,0,83,25.67,116,18.67,127,9.18,3,2.62,5,1
IN,81,No,0,67,29.84,85,21.19,98,12.16,3,2.75,1,0
CO,141,No,0,98,21.57,62,15.3,128,6.34,2,2.16,1,0
CO,121,No,30,129,33.73,77,6.4,77,8.15,3,1.57,3,1
OK,125,No,0,103,38.98,126,15.08,95,8.52,8,3.24,1,0
ID,174,No,0,97,32.66,94,14.44,54,7.5,4,3.08,1,0
CA,116,No,34,83,45.66,142,15.15,106,7.48,3,3.13,2,0
SD,149,No,28,92,30.72,64,15.96,53,11.95,3,3.4,3,0
NC,38,No,0,98,22.3,97,13.85,106,7.15,6,2.21,2,0
WA,40,No,41,74,25.18,88,14.41,102,9.63,5,1.67,2,0
WY,43,Yes,0,105,42.76,104,18.09,67,7.1,4,2.51,0,0
MN,113,Yes,0,93,21.28,119,17.54,139,5.82,8,2.24,0,0
UT,126,No,0,70,35.97,80,18.44,60,6.91,1,2.11,1,0
TX,150,No,0,101,30.41,110,14.37,100,6.69,3,3.73,4,1
NJ,138,No,0,93,41.11,83,14.49,104,13.29,7,3.19,3,0
MN,162,No,46,97,38.23,84,16.0,61,11.46,2,3.27,0,0
NM,147,No,0,83,42.26,85,12.66,109,7.76,4,2.16,3,0
NV,90,No,0,146,34.58,117,19.27,105,6.86,4,1.97,1,0
MN,50,No,0,90,26.71,72,18.98,111,8.16,2,1.65,1,0
DC,82,No,0,109,51.05,100,15.39,73,12.15,4,3.16,0,1
NY,144,No,0,117,10.47,85,6.55,99,7.79,7,2.21,4,1
MD,70,No,0,98,28.93,102,13.19,76,10.29,2,4.05,1,0
WV,144,No,0,99,34.19,74,25.8,119,10.08,2,3.56,1,0
OR,116,Yes,0,104,36.62,79,17.41,109,12.53,5,3.4,3,0
CO,55,No,25,123,28.15,95,11.57,90,7.91,2,2.97,3,0
GA,70,No,24,101,42.42,98,22.07,68,10.02,4,2.65,1,0
TX,106,No,0,96,35.8,85,21.18,88,8.61,1,3.35,2,1
IN,94,No,0,105,26.84,101,13.18,84,8.53,5,2.16,4,1
WV,111,No,0,118,36.43,76,17.72,98,8.21,2,3.24,1,0
KY,74,No,35,104,26.2,84,10.49,57,9.09,9,2.94,2,0
NJ,128,No,0,125,40.44,93,21.05,68,9.4,4,3.75,1,1
DC,82,No,0,61,24.46,105,16.57,94,4.93,2,3.0,1,0
AR,80,No,0,100,21.13,107,14.71,62,11.39,9,2.13,1,0
ME,78,No,0,93,42.99,112,15.16,105,11.88,7,2.57,3,0
AZ,90,No,0,71,30.45,81,16.2,91,5.75,7,2.86,3,0
AK,104,No,0,106,47.33,113,6.89,137,7.34,5,2.65,1,0
AZ,99,No,0,87,33.69,76,17.62,113,8.59,3,2.35,4,0
MS,120,No,0,131,36.06,104,17.8,96,7.52,5,1.43,1,1
IA,98,No,21,114,27.4,83,21.44,92,7.21,8,1.19,4,0
VT,135,No,0,82,25.79,105,10.12,100,8.1,6,2.84,0,0
IN,122,No,0,94,28.99,109,14.76,75,11.19,2,3.05,1,0
AZ,95,No,0,65,40.48,98,15.91,115,8.55,4,3.19,4,0
NM,93,No,21,131,20.04,115,13.98,86,9.76,3,2.65,1,0
UT,157,No,0,90,39.07,121,12.57,108,10.86,7,2.59,3,0
MI,120,No,0,100,28.05,83,26.96,86,5.36,8,2.24,1,0
MA,103,No,0,117,31.45,94,18.98,91,10.03,2,3.4,2,0
AL,98,No,0,117,27.37,113,16.23,113,10.25,4,3.27,4,0
DE,125,No,0,108,21.54,90,17.51,114,11.15,7,3.59,1,0
ME,36,Yes,42,89,33.46,122,21.67,126,6.22,6,5.4,0,1
NJ,64,No,0,83,27.64,109,12.95,122,2.59,3,3.83,1,0
NV,74,No,0,114,48.03,48,18.69,115,7.65,4,2.54,1,1
MO,112,No,36,117,19.33,82,13.39,118,7.99,3,2.7,2,0
NE,46,No,0,92,35.73,77,19.32,116,9.0,7,3.54,1,0
TX,41,No,22,102,36.35,86,12.05,123,6.4,3,1.94,0,0
MD,121,No,0,103,32.42,117,15.6,103,9.94,4,2.65,3,0
MS,193,No,0,124,29.05,95,11.25,89,5.08,3,3.13,1,0
NV,130,No,0,119,26.21,98,9.37,117,10.23,5,2.48,2,0
AZ,85,No,0,52,34.24,104,19.5,106,11.36,3,3.24,1,0
MS,162,No,0,108,12.02,87,13.39,82,6.97,3,2.46,4,1
MS,61,No,27,124,31.88,103,12.46,129,10.16,6,1.73,4,1
TX,92,No,0,90,15.59,123,16.46,86,7.88,4,2.48,2,0
NE,131,No,36,115,36.41,117,13.74,102,11.91,4,2.57,3,0
NE,90,No,0,92,24.74,114,18.5,123,6.61,2,2.94,3,0
NJ,78,No,0,115,39.27,140,19.58,120,11.76,3,2.57,1,0
TX,82,No,0,96,34.05,102,17.1,60,9.27,1,1.92,4,0
AR,163,No,0,109,33.49,128,17.22,80,9.29,10,2.46,1,0
AL,91,Yes,0,112,22.08,83,14.73,130,11.12,3,3.02,3,0
NY,75,No,21,97,29.89,106,18.49,134,10.69,4,1.43,5,0
FL,91,No,0,106,34.53,113,17.86,129,8.8,3,3.24,3,0
AK,127,No,36,117,31.14,76,10.78,71,11.85,8,3.02,1,0
NV,113,No,23,101,34.85,60,12.92,59,7.14,5,2.75,2,0
DE,110,No,0,115,25.25,84,23.49,112,8.71,3,3.35,1,0
MD,120,No,39,68,34.05,97,18.73,116,11.42,4,2.84,0,0
MI,157,No,28,107,32.74,74,16.62,139,4.94,5,1.84,3,0
VT,103,No,0,47,41.91,84,16.62,96,9.02,4,3.16,1,0
VT,117,Yes,0,86,28.41,87,15.09,132,11.22,7,3.81,2,1
MI,140,No,0,101,39.42,94,13.61,98,4.97,6,3.86,3,0
UT,83,Yes,0,87,46.16,126,18.39,105,5.45,4,3.16,1,0
RI,145,No,43,97,43.81,95,13.78,86,12.91,4,3.0,2,0
IA,113,No,0,99,32.95,125,18.82,67,7.75,6,2.86,1,0
RI,56,No,0,112,38.42,118,21.12,142,6.32,11,1.86,1,0
OK,96,No,0,115,44.27,46,12.41,87,12.13,4,3.11,5,0
LA,151,No,0,116,30.38,138,24.83,101,11.97,4,2.65,0,0
OH,83,No,0,120,57.36,116,19.33,114,6.93,7,4.27,0,1
VA,139,No,23,129,26.79,96,21.0,112,11.66,2,3.7,0,0
FL,115,No,24,124,24.16,129,15.59,114,7.42,4,2.59,1,0
SC,87,No,0,97,23.17,108,14.64,101,6.19,5,1.92,0,0
VA,141,No,0,110,36.91,111,20.53,103,11.41,6,3.24,0,0
IA,141,No,36,99,31.88,116,20.52,105,10.33,5,2.84,3,0
MI,62,No,0,103,16.81,122,11.51,82,10.65,1,3.29,1,0
OK,146,No,0,151,35.07,89,12.63,91,7.52,3,1.65,1,0
DE,92,No,33,92,41.33,92,18.17,104,10.29,2,3.27,2,0
GA,185,No,31,126,32.27,133,13.88,126,11.92,3,2.03,1,0
DC,148,No,0,102,34.34,128,20.67,90,11.76,3,2.94,1,0
AZ,94,No,38,124,28.92,116,16.43,73,4.77,4,3.46,1,0
CO,68,No,0,105,40.31,105,19.0,79,4.38,2,3.56,1,0
LA,179,No,0,92,37.26,125,12.7,104,11.01,5,1.65,0,0
NE,94,No,0,104,42.94,125,14.37,106,7.69,7,3.0,2,0
MN,62,No,0,91,25.01,107,16.18,115,8.78,3,3.29,0,0
AR,116,No,0,93,29.5,76,16.5,112,9.36,10,4.37,3,0
KS,70,No,0,122,39.46,112,24.85,112,9.05,0,0.0,3,0
WV,94,Yes,23,125,33.51,136,18.23,103,12.7,5,2.57,4,0
AK,126,No,0,94,9.89,118,11.79,91,6.16,1,3.21,5,1
NY,67,No,36,111,19.65,94,20.2,103,7.65,12,2.67,2,0
NH,19,No,0,98,31.64,57,21.62,127,9.63,7,3.94,2,0
VA,170,Yes,0,68,44.18,122,20.83,121,6.05,3,2.27,3,0
NM,73,No,0,145,36.43,135,22.82,92,10.85,13,2.92,1,0
NY,106,No,0,74,26.98,139,5.47,103,8.93,4,2.75,1,0
WY,164,No,0,111,27.3,126,13.87,112,8.42,3,2.43,1,0
WA,51,No,0,109,39.51,95,15.93,107,10.4,3,2.46,1,0
CO,107,No,0,85,22.75,94,15.34,115,5.05,4,2.4,0,0
TX,130,No,0,109,30.07,104,7.71,69,10.71,2,2.57,1,0
KY,80,No,0,74,35.68,77,16.58,119,9.37,4,2.38,2,0
MT,94,No,0,118,23.38,88,17.27,131,6.75,2,3.62,0,0
OK,118,No,23,52,49.22,111,14.16,88,5.36,4,2.57,1,0
MD,117,No,23,86,33.68,86,15.05,92,8.12,6,1.84,1,0
TN,78,No,0,119,25.45,115,15.49,126,11.77,8,2.62,0,0
ME,131,Yes,26,101,49.79,97,16.97,127,11.49,7,3.73,4,1
DC,63,No,0,64,14.11,106,15.05,89,11.06,3,3.51,0,0
MN,53,No,24,146,24.77,136,18.74,96,11.25,5,3.54,3,0
DE,62,No,0,101,30.99,93,27.9,131,11.03,1,3.02,2,0
MD,97,No,0,86,37.06,94,15.64,110,10.82,8,1.73,3,0
MI,105,No,0,109,23.9,51,15.18,83,9.76,3,1.84,2,0
WA,157,No,0,105,25.96,80,21.89,93,8.91,4,2.54,1,0
MO,66,No,36,76,18.14,77,17.83,117,8.57,2,3.27,1,0
OR,38,No,0,94,33.05,95,15.87,90,10.05,5,2.92,3,0
MD,106,No,0,95,36.36,70,12.91,124,11.7,5,3.29,3,0
RI,99,No,0,112,36.92,89,20.97,89,10.17,7,4.27,3,0
AZ,144,Yes,0,100,34.6,103,21.05,94,8.74,11,3.21,0,0
PA,82,No,24,131,26.38,106,20.78,68,5.51,3,2.89,1,0
AZ,86,No,31,139,28.49,118,9.61,121,11.11,6,3.29,1,0
FL,70,Yes,0,98,38.54,115,19.39,93,3.29,4,4.75,2,1
LA,93,No,0,93,30.48,98,15.18,131,10.13,6,3.11,3,0
FL,93,No,0,89,25.74,76,15.84,120,7.76,3,2.94,0,0
FL,120,No,0,80,30.6,82,19.06,91,11.94,7,1.27,3,0
MD,136,No,0,121,42.53,118,22.7,114,6.8,2,3.51,1,1
AL,106,No,0,121,37.91,98,9.36,107,8.49,12,1.92,0,0
WA,81,No,0,116,31.21,98,12.97,99,9.55,6,3.29,3,0
TN,127,No,22,114,28.22,103,14.83,68,11.02,6,2.75,1,0
ME,35,No,0,113,25.38,122,20.59,104,7.84,6,2.4,2,0
OK,88,No,0,97,11.12,76,14.3,113,10.62,1,3.73,2,0
MO,123,No,0,85,35.17,78,20.8,136,9.97,2,2.08,3,0
IA,126,No,27,78,31.65,83,16.12,139,3.44,3,2.59,2,0
VA,104,No,23,136,47.63,92,18.74,102,6.16,3,3.59,4,0
MD,93,Yes,0,109,53.04,100,11.0,74,9.79,2,2.84,0,1
OH,63,Yes,36,110,33.83,111,24.76,92,8.89,6,2.97,1,0
OK,100,No,0,96,34.53,126,18.45,122,8.14,2,3.65,3,0
NV,53,No,0,97,28.7,87,18.73,113,6.94,2,2.94,0,0
ID,92,Yes,0,140,29.43,105,20.43,117,10.49,5,2.43,1,0
SD,110,No,40,103,34.44,128,10.1,98,10.57,9,2.43,2,0
IL,110,No,0,117,12.67,98,17.07,101,8.65,7,2.65,3,0
AL,73,No,0,86,32.67,116,14.33,87,6.29,6,2.54,1,0
NJ,138,No,0,89,37.43,125,7.51,79,8.79,5,3.48,0,0
NV,137,Yes,0,95,22.97,102,11.4,81,10.04,2,3.32,2,1
IN,36,No,0,77,43.08,151,15.5,103,12.41,2,2.27,1,0
WV,85,No,0,81,38.25,63,15.04,110,8.74,2,1.92,3,0
VA,108,No,0,99,33.75,60,22.76,75,15.97,3,2.54,0,1
SC,22,No,0,107,18.75,93,14.15,96,9.1,5,2.57,0,0
RI,107,No,37,102,10.2,80,8.69,106,11.78,3,3.0,0,0
IN,51,No,0,94,36.52,58,12.72,66,12.75,5,2.75,0,0
OR,33,No,29,99,26.76,80,10.02,79,12.56,11,3.75,4,1
NJ,106,No,0,91,35.34,109,14.62,143,8.63,7,3.89,4,0
MS,82,No,0,90,35.19,83,19.8,108,7.76,8,2.46,3,0
TX,97,Yes,0,117,24.43,82,23.21,81,8.02,3,2.94,0,0
DC,108,No,0,122,23.56,117,14.65,92,10.42,3,2.65,1,0
TX,114,No,0,118,14.4,86,21.24,95,8.7,8,3.92,1,0
UT,59,No,0,79,26.38,123,20.0,80,7.62,4,2.35,1,0
MN,24,No,25,110,28.03,105,17.79,55,10.4,9,1.81,1,0
IL,151,No,0,88,22.87,112,12.16,61,10.08,1,4.16,1,0
NM,117,No,0,103,24.36,108,17.96,96,8.33,3,3.11,1,0
WV,114,No,30,79,35.05,91,22.1,83,13.12,6,3.08,1,0
RI,114,No,28,94,38.39,117,16.41,100,10.46,9,2.27,4,0
NH,119,No,0,89,23.51,78,14.49,98,11.88,6,3.65,3,0
MA,118,Yes,0,123,27.2,96,14.91,99,8.32,3,2.67,2,0
PA,101,No,0,105,35.12,117,19.12,100,11.25,3,3.94,0,0
OK,117,No,0,121,22.9,83,15.3,104,9.04,3,2.08,1,0
AL,49,No,28,78,36.45,100,19.99,107,9.28,13,2.16,3,0
WY,139,No,0,104,32.78,96,19.92,101,9.14,3,3.51,3,0
PA,92,No,28,90,25.69,79,16.56,114,10.76,3,2.7,1,0
HI,148,Yes,0,88,37.21,85,17.68,99,9.15,4,3.0,0,0
AL,131,No,25,85,32.76,105,19.2,59,11.44,6,2.94,2,0
VT,146,Yes,0,135,34.75,90,18.62,114,10.02,6,2.84,3,0
AK,48,No,37,115,35.99,84,13.59,80,6.48,1,3.29,1,0
MI,86,No,28,74,37.67,100,24.51,105,10.81,2,2.43,1,0
DE,71,No,0,108,33.64,109,15.43,56,12.66,5,1.81,3,0
MI,137,No,0,122,35.09,102,10.88,84,8.75,5,2.38,2,0
KS,137,No,0,88,35.0,86,17.79,84,13.05,4,3.92,2,0
AL,167,No,0,88,35.29,63,11.25,98,11.48,5,3.81,0,0
NE,132,No,0,110,16.92,80,10.97,124,5.63,3,2.62,0,0
WI,94,No,0,112,30.11,112,16.49,108,6.6,4,1.59,1,0
WI,96,No,18,86,29.36,113,11.34,70,11.68,3,2.65,1,0
IN,166,No,0,115,34.71,152,15.29,109,9.76,5,2.57,1,0
DC,74,No,0,83,14.57,67,21.05,85,6.41,5,2.73,2,0
AR,36,No,0,117,26.79,58,15.67,99,10.82,1,3.21,0,0
ME,113,No,0,129,36.64,117,18.59,91,9.32,9,1.78,4,0
MD,67,No,0,80,29.19,81,9.38,111,8.79,4,3.21,2,0
IA,158,No,0,106,26.86,114,24.86,89,10.85,4,2.46,1,0
AZ,136,No,0,117,15.64,77,21.56,90,9.63,10,2.78,1,0
MO,196,No,0,109,39.78,114,21.21,70,7.79,5,2.46,2,0
VT,113,No,0,111,46.26,118,22.82,105,9.62,10,2.3,1,1
RI,112,No,0,101,33.05,82,16.18,107,8.25,2,3.08,0,0
SD,209,No,0,128,38.62,92,21.96,74,8.26,4,2.4,3,0
MN,62,No,0,109,42.28,118,18.7,78,11.96,2,3.56,1,1
TX,110,No,38,102,40.17,112,16.65,82,8.26,6,2.62,1,0
VA,16,No,0,69,34.95,93,14.41,64,9.9,3,2.94,0,0
MA,73,No,0,136,16.0,122,23.83,77,9.23,4,2.65,0,0
ID,128,No,0,99,21.28,107,17.46,111,11.45,2,5.1,0,0
MA,39,No,0,158,10.27,120,26.03,46,5.58,3,3.35,1,0
GA,103,No,28,105,20.57,100,22.98,76,7.22,4,2.08,2,0
RI,119,No,29,66,20.03,114,21.83,76,6.64,3,2.05,3,0
ID,173,No,21,96,39.51,118,18.01,102,12.29,5,1.35,3,0
SD,128,Yes,32,81,38.0,74,16.05,101,6.97,2,2.54,2,1
MA,86,No,0,79,29.97,97,22.03,78,12.93,3,1.67,0,0
WY,114,No,32,79,21.28,105,15.11,89,10.46,3,3.48,1,0
VA,104,No,0,107,23.58,113,21.84,74,10.57,3,2.7,0,0
OR,148,No,0,134,14.67,92,20.96,91,11.32,4,3.05,1,0
VA,129,No,0,91,35.19,121,13.17,112,11.03,5,3.62,3,0
ME,100,No,30,104,10.0,107,18.66,118,6.85,3,1.92,0,0
GA,143,No,33,109,40.66,112,20.02,95,7.03,4,2.57,1,0
IA,76,No,0,130,33.71,86,18.45,96,8.48,3,3.38,0,0
AZ,158,No,0,97,34.88,77,20.45,108,3.59,12,3.89,0,0
FL,116,No,0,98,32.66,135,26.6,94,5.86,2,2.13,3,0
MT,54,No,0,83,46.34,74,21.14,111,8.88,2,2.57,1,1
AL,86,No,0,121,21.81,93,16.75,152,6.23,5,3.29,7,1
DE,108,No,0,99,28.83,87,22.45,78,9.28,4,2.51,0,0
MT,66,No,0,95,34.22,66,12.99,101,10.49,4,2.03,1,0
KY,151,No,17,97,36.5,90,11.77,44,7.61,4,2.32,1,0
SC,99,No,0,70,28.76,77,23.08,104,7.66,2,2.86,0,0
WA,55,No,0,121,33.0,110,15.01,136,13.63,7,1.89,2,0
AK,78,No,0,67,38.27,127,16.93,102,7.9,2,3.94,0,0
GA,89,No,0,63,36.21,71,15.01,126,11.82,1,2.46,1,1
MN,101,No,0,115,31.26,101,21.75,145,12.38,11,2.92,1,0
IL,44,No,34,105,37.71,85,13.74,62,10.25,7,3.78,0,0
IN,98,No,21,98,10.98,86,14.97,84,11.02,0,0.0,2,0
SC,64,No,37,92,26.28,103,7.09,99,7.47,3,3.59,1,0
VA,141,No,0,131,44.23,120,15.23,119,6.08,8,1.94,3,0
WI,81,No,33,117,27.47,90,10.46,101,11.76,5,3.29,1,0
VT,162,No,0,117,37.5,121,13.19,89,8.4,11,2.84,1,0
AZ,83,No,41,122,26.5,107,13.8,105,5.74,5,3.54,3,0
FL,100,No,0,63,18.19,67,8.98,74,10.94,3,3.46,4,1
AK,59,No,0,104,31.03,95,17.4,100,10.35,8,3.05,4,0
AR,179,Yes,38,78,37.42,71,19.92,85,10.68,4,2.73,4,0
AR,79,No,0,112,25.87,132,15.06,87,4.34,3,1.43,1,0
AK,117,No,0,95,30.86,88,17.43,82,9.18,9,3.97,2,0
ME,31,No,0,105,28.24,93,6.74,98,9.62,2,3.43,1,0
NM,122,No,23,85,22.81,132,19.32,96,5.51,2,2.3,2,0
NE,37,Yes,39,122,25.45,75,17.94,90,5.14,4,2.48,1,0
SC,90,No,29,109,25.52,103,22.5,97,8.03,4,1.57,1,0
CO,159,Yes,0,53,43.71,127,26.54,82,8.24,6,2.38,1,1
OH,39,No,36,121,24.09,113,19.75,131,9.99,5,3.24,1,0
OK,194,No,0,88,27.59,118,18.16,81,8.64,2,2.94,0,0
CO,154,No,0,75,59.64,94,18.4,100,11.43,9,2.73,1,1
NC,112,No,0,96,32.86,123,22.45,115,5.79,3,2.46,4,0
MD,45,No,0,127,13.29,108,21.54,100,11.48,3,4.86,1,0
KS,132,No,0,110,14.18,137,19.74,114,6.6,5,2.05,1,0
MA,128,No,0,99,33.25,120,22.76,76,7.42,2,4.32,0,0
NM,56,No,0,110,33.49,102,18.94,91,10.14,6,2.86,2,0
CA,151,Yes,0,57,37.06,88,9.72,95,12.11,1,3.35,0,1
NY,32,No,0,98,28.02,96,19.54,108,7.53,2,4.0,2,0
AZ,90,No,0,77,30.46,99,17.91,58,12.46,6,2.48,2,0
DC,138,No,0,87,28.99,116,10.05,111,8.46,7,3.02,2,0
ND,79,No,0,123,34.97,108,18.23,106,10.17,18,1.81,1,0
MO,95,Yes,0,84,28.14,112,24.33,89,8.95,2,3.11,1,1
KS,127,No,0,100,37.57,113,13.66,96,10.49,4,1.84,2,0
SD,137,No,0,118,41.16,93,16.24,50,9.84,2,3.97,3,0
OK,97,No,0,107,25.77,96,13.21,112,10.8,4,3.97,1,0
OR,149,Yes,0,87,29.95,81,12.33,92,11.23,4,1.54,0,0
IN,117,Yes,22,82,33.32,82,27.43,120,10.15,5,1.0,1,0
OH,84,No,0,125,27.12,90,21.0,82,8.46,4,1.94,2,0
KS,137,No,0,113,39.13,79,18.73,111,9.21,7,2.89,4,0
CT,99,No,0,64,24.94,99,23.29,98,14.46,1,2.4,3,0
WI,85,No,0,95,17.34,139,22.97,105,6.67,3,2.89,1,0
MS,150,No,0,99,21.42,73,20.27,100,12.83,6,2.75,3,0
WV,43,No,0,125,28.63,89,20.72,102,9.66,2,3.0,1,0
MD,98,No,0,92,35.11,152,14.98,115,10.48,5,3.35,5,0
PA,112,No,0,76,36.91,100,17.44,91,8.36,3,2.54,2,0
WI,16,No,0,78,39.03,108,17.48,91,7.48,2,2.92,0,1
TN,98,No,22,89,47.31,143,7.94,42,4.84,5,2.62,0,0
IL,84,No,0,129,30.86,112,11.11,118,8.39,4,2.3,1,0
DC,66,No,0,91,28.44,68,19.55,118,8.63,5,2.86,1,1
GA,98,No,31,105,20.57,98,18.61,110,10.2,1,3.24,1,0
ID,74,No,0,124,37.59,94,9.42,112,10.8,3,2.86,0,0
KY,119,No,0,122,37.88,107,13.87,112,7.23,6,3.02,1,0
OH,73,No,0,80,31.18,115,20.57,100,9.06,3,2.03,4,0
WI,92,Yes,0,91,44.93,115,13.68,73,8.94,5,2.51,0,0
IL,21,No,0,78,24.82,79,9.32,108,11.13,7,1.84,0,0
DE,122,No,0,134,26.71,122,15.72,59,8.87,5,2.3,4,1
RI,133,Yes,0,108,21.64,81,21.36,88,6.08,3,2.78,1,0
TX,145,No,0,110,31.94,117,16.75,108,7.52,4,1.3,2,0
OR,25,No,0,90,30.4,72,12.0,99,9.14,5,2.27,2,0
MS,126,No,0,112,43.61,90,16.96,122,8.47,5,1.89,3,0
OR,76,No,0,77,28.82,87,10.54,92,9.87,3,2.7,0,0
DE,113,No,0,47,40.75,110,24.05,88,10.73,3,2.35,2,1
DE,224,Yes,0,99,29.16,103,13.6,102,9.56,2,1.35,1,1
SD,128,No,34,73,24.19,79,16.56,81,10.77,6,4.32,1,0
NV,115,No,0,98,31.3,73,27.8,106,9.56,6,2.03,2,0
NM,141,No,28,126,35.17,126,22.47,124,7.73,11,2.51,2,0
MN,51,No,0,114,44.18,94,14.98,112,3.47,1,4.13,1,0
NJ,100,No,0,122,34.65,76,24.06,83,8.88,3,3.38,0,0
IN,96,No,45,124,42.3,77,11.93,102,11.86,2,2.78,3,0
ME,163,No,0,129,20.81,108,9.64,97,8.11,7,3.38,1,0
NH,67,No,40,65,17.83,93,18.39,128,9.78,9,2.59,1,0
OR,49,No,0,69,20.3,92,23.23,153,9.65,7,3.35,2,0
KS,46,No,0,100,42.55,90,22.15,104,8.78,2,3.59,2,1
NE,148,No,0,98,30.31,110,24.02,98,8.15,4,3.08,1,0
MI,112,No,0,77,41.38,97,15.48,94,11.66,2,3.46,1,0
SC,78,No,0,106,26.35,101,14.9,125,7.0,5,3.19,2,0
PA,61,No,31,101,49.08,102,17.32,49,9.14,3,2.32,0,0
MT,58,No,29,80,40.87,91,10.11,108,7.39,3,3.02,1,0
NM,155,No,0,123,32.35,96,25.61,134,9.66,3,2.16,1,0
OH,100,No,0,76,47.26,74,15.02,126,9.88,4,2.24,0,1
WY,113,No,0,93,26.35,106,28.1,123,8.52,3,3.65,1,0
AR,135,No,27,141,46.48,99,13.09,112,11.06,6,3.32,1,0
FL,99,No,0,93,26.4,95,22.58,67,6.56,4,3.35,0,0
AR,59,No,29,114,22.63,82,18.8,103,5.92,3,1.84,1,0
MO,135,No,0,129,41.96,121,15.96,109,6.95,5,3.4,1,0
WI,85,Yes,0,107,28.12,126,16.66,110,15.71,7,2.59,2,0
TX,88,No,0,116,23.51,138,20.06,110,8.06,4,2.59,3,0
NM,55,No,0,100,48.74,121,11.42,122,8.68,5,1.86,2,0
GA,75,No,0,114,19.94,61,17.09,82,4.86,3,3.29,1,0
KS,86,No,23,107,38.34,105,20.94,81,11.06,2,2.65,0,0
OH,97,No,0,125,43.59,100,23.28,101,10.02,1,3.0,1,1
MA,88,No,0,124,45.02,112,20.86,115,7.22,2,4.0,1,1
KY,54,No,0,99,27.17,64,22.44,70,5.21,7,2.62,2,0
DC,11,No,28,86,32.4,122,18.71,80,8.11,3,1.62,3,0
WA,109,No,0,120,31.28,119,10.23,86,6.92,3,2.97,0,0
